"","speciesCode","sciName","comName","scientificNameStd"
"253","bltfly1","Myiobius atricaudus","Black-tailed Flycatcher","Myiobius atricaudus"
"254","yebsee1","Sporophila nigricollis","Yellow-bellied Seedeater","Sporophila nigricollis"
"255","shbpig","Patagioenas nigrirostris","Short-billed Pigeon","Patagioenas nigrirostris"
"256","chiswi","Chaetura pelagica","Chimney Swift","Chaetura pelagica"
"257","vauswi","Chaetura vauxi","Vaux's Swift","Chaetura vauxi"
"258","snoplo5","Charadrius nivosus","Snowy Plover","Charadrius nivosus"
"259","wilsni1","Gallinago delicata","Wilson's Snipe","Gallinago delicata"
"260","fragul","Leucophaeus pipixcan","Franklin's Gull","Leucophaeus pipixcan"
"261","kelgul","Larus dominicanus","Kelp Gull","Larus dominicanus"
"262","yebter2","Sternula superciliaris","Yellow-billed Tern","Sternula superciliaris"
"263","forter","Sterna forsteri","Forster's Tern","Sterna forsteri"
"264","eleter1","Thalasseus elegans","Elegant Tern","Thalasseus elegans"
"265","redegr","Egretta rufescens","Reddish Egret","Egretta rufescens"
"266","blheag1","Spizaetus tyrannus","Black Hawk-Eagle","Spizaetus tyrannus"
"267","cocwoo1","Xiphorhynchus susurrans","Cocoa Woodcreeper","Xiphorhynchus susurrans"
"268","cinbec1","Pachyramphus cinnamomeus","Cinnamon Becard","Pachyramphus cinnamomeus"
"269","shtfly1","Poecilotriccus sylvia","Slate-headed Tody-Flycatcher","Poecilotriccus sylvia"
"270","sctfly","Tyrannus forficatus","Scissor-tailed Flycatcher","Tyrannus forficatus"
"271","bawwar","Mniotilta varia","Black-and-white Warbler","Mniotilta varia"
"272","amered","Setophaga ruticilla","American Redstart","Setophaga ruticilla"
